,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
56,25025060200,482200.0,1815,0,0,0,1815,0,605,0,605,0,0,1210,0,0,0,605,0,0,0,605,605,0,1815,4235,605
57,25025060301,456300.0,0,0,0,0,3264,0,0,0,1088,0,1088,2176,0,1088,0,2176,0,0,0,7616,0,0,5440,8704,0
58,25025060400,431000.0,10318,0,0,1474,13266,2948,4422,0,0,0,4422,7370,0,2948,0,5896,0,0,1474,7370,4422,0,20636,39798,4422
59,25025060501,452400.0,10648,0,0,0,18634,1331,0,0,3993,0,1331,9317,0,1331,0,7986,0,0,0,6655,3993,0,41261,23958,10648
60,25025060600,499700.0,8010,0,0,2403,10413,2403,801,0,801,801,8811,4806,0,801,0,7209,0,0,0,3204,1602,0,47259,20025,6408
61,25025060700,634800.0,84,0,0,0,7,0,42,0,0,0,35,133,0,14,7,42,7,0,14,14,21,28,119,133,28
62,25025060800,383800.0,12780,0,0,0,11360,1420,4260,0,2840,0,0,21300,0,1420,0,7100,0,0,0,9940,2840,0,29820,69580,9940
63,25025061000,427750.0,5730,0,0,0,3438,1146,1146,0,0,0,382,11078,0,382,382,3820,382,0,1910,2674,382,0,9550,10314,3438
64,25025061101,454800.0,315,0,0,0,105,0,0,0,0,0,84,546,21,42,0,210,0,0,42,147,84,0,609,420,84
65,25025061200,486300.0,22590,0,0,1506,34638,30120,3012,1506,9036,1506,4518,174696,0,3012,0,16566,0,0,1506,42168,16566,3012,45180,69276,46686
